user_id,date,steps,calories_burned,resting_hr,sleep_hours,calories_consumed,carbs_g,protein_g,fat_g,workout_label,nutrition_label
0,2025-09-1,15795,2360,64,8.1,3138,221,112,106,rest_day,high_protein
1,2025-09-2,4426,2982,73,5.3,1630,249,82,21,light_walk,calorie_control
2,2025-09-3,2433,2715,70,7.3,1521,352,137,108,light_walk,high_protein
3,2025-09-4,8666,2582,77,9.8,3306,289,91,66,rest_day,balanced_plate
4,2025-09-5,3005,2062,52,9.0,2146,120,102,58,light_walk,high_protein
5,2025-09-6,10627,2100,63,8.7,2863,191,140,79,rest_day,high_protein
6,2025-09-7,15787,2008,57,3.2,3753,180,65,69,recovery_high_steps,balanced_plate
7,2025-09-8,3943,2911,51,6.0,2629,359,83,112,light_walk,carb_boost
8,2025-09-9,12990,1901,75,6.1,1701,369,124,67,intense_workout,high_protein
9,2025-09-10,11534,1955,63,4.4,2516,289,69,104,rest_day,balanced_plate
10,2025-09-11,8529,2378,73,5.5,2263,287,138,60,rest_day,high_protein
11,2025-09-12,5276,1514,50,3.1,2867,228,137,27,rest_day,high_protein
12,2025-09-13,15422,2662,66,8.0,1918,388,34,60,rest_day,carb_boost
13,2025-09-14,19483,1634,58,7.4,2002,161,117,56,rest_day,high_protein
14,2025-09-15,19115,3395,71,9.2,2460,326,130,66,intense_workout,high_protein
15,2025-09-16,13773,2142,50,8.1,2002,354,43,46,rest_day,carb_boost
16,2025-09-17,206,2538,75,3.2,2984,278,92,115,gentle_stretching,balanced_plate
17,2025-09-18,19174,2764,81,7.9,3778,336,44,62,intense_workout,carb_boost
18,2025-09-19,1059,2024,81,7.2,3319,165,71,64,light_walk,balanced_plate
19,2025-09-20,9789,3476,55,6.2,3143,143,113,49,rest_day,high_protein
20,2025-09-21,10173,2854,77,5.5,3737,324,30,46,intense_workout,carb_boost
21,2025-09-22,6776,2127,62,9.0,2209,236,91,56,rest_day,balanced_plate
22,2025-09-23,13545,2183,73,9.6,3131,332,81,81,intense_workout,carb_boost
23,2025-09-24,13808,1941,61,4.8,3136,212,85,100,recovery_high_steps,balanced_plate
24,2025-09-25,17082,1612,51,6.5,3089,442,130,115,rest_day,high_protein
25,2025-09-26,7392,1884,68,7.8,2576,271,119,51,rest_day,high_protein
26,2025-09-27,4931,2962,60,5.6,1900,354,67,43,light_walk,carb_boost
27,2025-09-28,8004,2383,83,7.4,3430,339,45,116,rest_day,carb_boost
28,2025-09-29,9339,1686,55,7.9,3294,247,88,55,rest_day,balanced_plate
29,2025-09-30,6546,2869,52,8.7,3234,407,134,52,rest_day,high_protein
30,2025-09-1,18343,3163,88,9.6,2140,366,121,76,intense_workout,high_protein
31,2025-09-2,6616,3469,72,6.8,3134,362,45,109,rest_day,carb_boost
32,2025-09-3,9208,3095,51,10.0,3801,239,98,56,rest_day,balanced_plate
33,2025-09-4,7158,1508,90,5.4,3755,230,49,43,rest_day,balanced_plate
34,2025-09-5,12183,2127,60,9.5,2943,203,113,118,rest_day,high_protein
35,2025-09-6,2557,2996,84,9.8,3419,465,111,85,light_walk,high_protein
36,2025-09-7,2869,2686,65,10.0,1660,167,62,33,light_walk,calorie_control
37,2025-09-8,3987,3027,57,8.9,1900,227,62,67,light_walk,balanced_plate
38,2025-09-9,4555,2454,71,4.9,3193,137,131,70,light_walk,high_protein
